Census District,City/Town/Village,Total Population,Year,latitude,longitude,lat_decimals,lon_decimals,needs_reassign,good_coords,pop_clean
Francistown,Gerald Wildlife Park,12,2022,-21.122547836639914,27.490415962968175,15,15,False,True,12
Francistown,Gerald Prison,792,2022,-21.154237585373934,27.50572713130616,15,14,False,True,792
Francistown,Dumela Industrial Area,26,2022,-21.11721135446195,27.53178284260927,14,14,False,True,26
Francistown,Area G Industrial,1,2022,-21.1568331,27.516562,7,6,False,True,1
Francistown,Ntshe,"2,365",2022,-21.128755094796503,27.499673625019152,15,15,False,True,2365
Francistown,Botsalano,"1,937",2022,-21.178042421765415,27.500568011098157,15,15,False,True,1937
Francistown,Bulawayo Road Industrial,5,2022,-21.130861794341627,27.53607767734129,15,14,False,True,5
Francistown,Area H,489,2022,-21.17047584071613,27.51488027243736,14,14,False,True,489
Francistown,Area A,"1,583",2022,-21.1727534,27.523167,7,6,False,True,1583
Francistown,China Town,646,2022,-21.168450720020708,27.530071908697433,15,15,False,True,646
Francistown,Gerald Block 12,5,2022,-21.167229720544636,27.48387939340711,2,1,True,False,5
Francistown,Gerald Farms Extension,186,2022,-21.204088981311365,27.468345802575975,15,15,False,True,186
Francistown,Donga BDF Camp,"1,846",2022,-21.1718125,27.5413125,7,7,False,True,1846
Francistown,BDF Camp Area W,189,2022,-21.1747346,27.5040853,7,7,False,True,189
Francistown,Gerald BDF Camp,5,2022,-21.157769530074795,27.502573259955017,15,15,False,True,5
Lobatse,Hillside/Boswelatlou (Extension 101),"1,038",2022,-25.228500939430777,25.6953910519058,15,13,False,True,1038
Lobatse,Peleng (Extension 102),"7,374",2022,-25.232095184557764,25.686891076497098,15,15,False,True,7374
Lobatse,New Look (Extension 104),"1,118",2022,-25.209795295272837,25.68280414622443,15,14,False,True,1118
Lobatse,Wood Hall 1 (Extension 105),"5,980",2022,-25.2141948,25.6827427,7,7,False,True,5980
Lobatse,B.C Thema (Extension 106),763,2022,-25.213554506989695,25.68288628041279,15,14,False,True,763
Lobatse,Motswedi (Extension 107),"2,753",2022,-25.22882069071256,25.69559977834672,14,14,False,True,2753
Lobatse,Wood Hall 2Tsopeng (Extension 108),"5,233",2022,-25.200153207151413,25.69658348781156,15,14,False,True,5233
Lobatse,Pitikwe (Extension 109),"2,460",2022,-25.18305570511478,25.69549989553749,14,14,False,True,2460
Lobatse,Town Centre (Extension 110),434,2022,-25.22722218935612,25.66972201547946,14,14,False,True,434
Lobatse,Jacaranda (Extension 111),665,2022,-25.214148178590563,25.676563603482546,15,15,False,True,665
Lobatse,Wood Hall 3Airport (Extension 112),846,2022,-25.19669976572326,25.714818540261493,14,15,False,True,846
Lobatse,Plantation Extension 113,47,2022,-25.17033129054624,25.683347341578195,14,15,False,True,47
Selibe Phikwe,Kopano (Extension 1),"2,153",2022,-21.978876672915145,27.836164005496663,15,15,False,True,2153
Selibe Phikwe,Leseding (Extension 2),795,2022,-21.968772210069467,27.84323271529399,15,14,False,True,795
Selibe Phikwe,Thakadiawa (Extension 3),"2,547",2022,-21.92441,28.37852,5,5,False,True,2547
Selibe Phikwe,Botshabelo South (Extension 5),"3,353",2022,-21.973779403181236,27.872417942881185,15,15,False,True,3353
Selibe Phikwe,Botshabelo North (Extension 6),"1,511",2022,-21.962342976949422,27.87307795510808,15,14,False,True,1511
Selibe Phikwe,Mannathoko,35,2022,-22.00784640127224,27.804025411974433,2,2,True,False,35
Selibe Phikwe,Tidimane,58,2022,-21.9586570524035,27.86700672772455,2,2,True,False,58
Selibe Phikwe,Mokhondo,97,2022,-22.008639690705053,27.82219356901177,2,2,True,False,97
Selibe Phikwe,Botshabelo East,"1,488",2022,-21.96868442492378,27.875026710782148,14,15,False,True,1488
Selibe Phikwe,Botshabelo Central,"1,763",2022,-21.96346917092498,27.872660782209437,14,15,False,True,1763
Selibe Phikwe,Botshabelo West,"1,654",2022,-21.959435291927008,27.868397413602032,15,15,False,True,1654
Selibe Phikwe,BCL Mine,50,2022,-21.944643153376035,27.860995081933655,15,15,False,True,50
Selibe Phikwe,Moruleng,209,2022,-22.009438151090727,27.827589985632937,2,2,True,False,209
Selibe Phikwe,Makhubu,169,2022,-21.984571098381096,27.836505910770743,15,15,False,True,169
Selibe Phikwe,Senwelo (Extension 155,15,2022,-22.04619140335173,27.865735167130673,2,2,True,False,15
Selibe Phikwe,Mphakenoko (Pimville),682,2022,-21.977704403894684,27.824024232123165,15,15,False,True,682
Selibe Phikwe,Bolelanoto (Industrial Site),110,2022,-22.05038112505054,27.86588500511468,2,2,True,False,110
Selibe Phikwe,Kagiso,"2,107",2022,-21.982990590103345,27.822715026713404,15,15,False,True,2107
Selibe Phikwe,Sesame,"4,716",2022,-21.98582539678782,27.8143913052217,14,13,False,True,4716
Selibe Phikwe,Bontleng (Extension 161),883,2022,-21.983253704441267,27.828240275842457,15,15,False,True,883
Selibe Phikwe,Itekeng Phase 1 (Extension 162),"5,229",2022,-21.984872559321108,27.852041027985877,15,15,False,True,5229
Selibe Phikwe,Ikageleng Phase 1 (Extension 163),"4,265",2022,-21.983072626710367,27.842467231380148,15,15,False,True,4265
Selibe Phikwe,Ralenyetse Extion 172,46,2022,-21.98669440784372,27.881004476399692,14,15,False,True,46
Selibe Phikwe,Mabothaphofu Phase II (Extension 173),"2,118",2022,-21.98553931250974,27.850597523510647,14,15,False,True,2118
Selibe Phikwe,Mekoro,"1,262",2022,-21.982779842315804,27.86984249390578,15,14,False,True,1262
Selibe Phikwe,Kolobeng,7,2022,-21.987197529315218,27.835687501834034,2,2,True,False,7
Selibe Phikwe,Special Economic Zone,72,2022,-21.9591670224835,27.815517713219112,2,2,True,False,72
Selibe Phikwe,Botswana Defence Force Camp,"2,217",2022,-21.9203346088233,27.85167048357177,13,14,False,True,2217
Orapa,Morakeng,583,2022,-21.33642467577186,25.3515654637964,14,13,False,True,583
Orapa,Temong,"1,230",2022,-21.333389979876912,25.353304464767657,15,15,False,True,1230
Orapa,Tidimalo,"1,015",2022,-21.338901253763968,25.357205417097266,15,15,False,True,1015
Orapa,Thabeng,"1,034",2022,-21.338075732413024,25.372111007963824,15,15,False,True,1034
Orapa,Kagisong,"1,751",2022,-21.329294899619804,25.35760827090446,15,14,False,True,1751
Orapa,Tshepong,"1,491",2022,-21.33912639514415,25.377589819741807,14,15,False,True,1491
Orapa,Madirelo,18,2022,-21.334848649823027,25.351484893034957,15,15,False,True,18
Jwaneng,Jwaneng Mall,5,2022,-24.5917741,24.7298879,7,7,False,True,5
Jwaneng,Kgalagadi Area (Unit 2),"2,744",2022,-24.604172425763036,24.721938929018723,15,15,False,True,2744
Jwaneng,Rapohalane Keng Area (Unit 6),"2,587",2022,-24.602946,24.745459,6,6,False,True,2587
Jwaneng,Ngami Area (Unit 1),"2,514",2022,-24.5994677,24.7335861,7,7,False,True,2514
Jwaneng,Molopo Area(Unit 3),"2,371",2022,-24.6077915,24.7335861,7,7,False,True,2371
Jwaneng,Mogale Area (Unit 5),"1,788",2022,-24.6116014,24.7276495,7,7,False,True,1788
Jwaneng,Masaasele (Unit 7),"2,433",2022,-24.5946226,24.745459,7,6,False,True,2433
